question,answer
what are the symptoms of insomnia?,"Difficulty falling asleep, Difficulty staying asleep, Waking up too early, Daytime fatigue, Difficulty concentrating"
what is multiple myeloma?,"Multiple myeloma is a type of cancer that affects plasma cells, which are white blood cells that produce antibodies to help fight infections. In multiple myeloma, abnormal plasma cells accumulate in the bone marrow and can crowd out healthy blood cells."
what are the symptoms of gout?,"Intense joint pain, Swelling, Redness"
what are the treatments for migraine headaches?,"Pain-relieving medications such as aspirin or ibuprofen, Triptans, which are medications specifically designed to treat migraines, Preventive medications such as beta blockers or antidepressants, Avoiding triggers such as certain foods, stress, and lack of sleep, Resting in a quiet, dark room"
what are the treatments for hantavirus pulmonary syndrome?,"Hospitalization, Oxygen therapy, Fluid replacement therapy"
what are the treatments for syphilis?,"Antibiotics, Penicillin injections, Regular testing"
what are the symptoms of tinnitus?,"Ringing, buzzing, or other noise in the ears, Difficulty sleeping or concentrating, Anxiety or depression"
what are the symptoms of typhoid fever?,"Fever, Headache, Abdominal pain, Loss of appetite, Fatigue, Diarrhea or constipation, Rash"
what are the symptoms of cholecystitis?,"Abdominal pain, Nausea and vomiting, Fever and chills"
what is acne?,Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
what are the symptoms of kawasaki disease?,"Fever, Red eyes, Rash, Swollen lymph nodes, Swollen hands and feet, Strawberry tongue"
what are the symptoms of hepatitis a?,"Fatigue, Nausea and vomiting, Abdominal pain, Loss of appetite, Dark urine, Joint pain, Jaundice"
what are the symptoms of cervical cancer?,"Abnormal vaginal bleeding, Pain during sex, Pelvic pain, Unusual vaginal discharge"
what are the symptoms of inflammatory bowel disease?,"Abdominal pain, Diarrhea, Rectal bleeding, Fatigue, Weight loss"
what are the treatments for creutzfeldt-jakob disease?,There is no cure or treatment that can slow the progression of the disease
what are the symptoms of myocardial infarction?,"Chest pain or discomfort, Shortness of breath, Nausea or vomiting, Feeling lightheaded or dizzy, Sweating, Pain or discomfort in the arms, back, neck, jaw, or stomach"
what are the symptoms of chickenpox?,"Fever, Fatigue, Loss of appetite, Headache, Itchy rash, Blisters, Body aches"
what are the treatments for mitral valve regurgitation?,"Medications to control blood pressure and reduce fluid buildup, Surgical repair or replacement of the mitral valve, Lifestyle changes, such as maintaining a healthy weight and quitting smoking"
what is measles?,"Measles is a highly contagious viral disease that can be serious or even fatal. It is spread through the air by coughing or sneezing. The symptoms of measles include fever, cough, runny nose, and a rash all over the body."
what are the symptoms of rabies?,"Fever, Headache, Muscle weakness, Seizures, Excessive salivation, Paralysis"
what is high cholesterol?,"High cholesterol is a condition in which you have too much cholesterol â€” a waxy, fat-like substance â€” in your blood. High cholesterol can increase your risk of heart disease and other health problems."
what are the symptoms of kawasaki disease?,"Fever, Red eyes, Rash, Swollen lymph nodes, Swollen hands and feet, Strawberry tongue"
what is coronary artery disease?,Coronary artery disease is a condition in which the arteries that supply blood to the heart become narrowed or blocked due to plaque buildup.
what are the symptoms of atherosclerosis?,"Chest pain, Shortness of breath, Weakness or numbness in limbs, Headache, Blurry vision"
what are the symptoms of intestinal obstruction?,"Abdominal pain and cramping, Bloating, Vomiting, Constipation"
what are the treatments for scoliosis?,"Bracing, Physical therapy, Surgery"
what are the treatments for smallpox?,"Vaccination, Antiviral drugs, Symptomatic relief"
what are the symptoms of peripheral neuropathy?,"Tingling, burning or prickling sensations in the affected area, Sharp, stabbing or shooting pain, Extreme sensitivity to touch, Lack of coordination and falling, Muscle weakness or paralysis if motor nerves are affected, Partial or complete loss of sensation if sensory nerves are affected, Bowel or bladder dysfunction if autonomic nerves are affected, Changes in blood pressure and sweating"
what are the symptoms of depression?,"Persistent feelings of sadness, anxiety, or emptiness, Loss of interest in activities that were once enjoyable, Difficulty sleeping or oversleeping, Changes in appetite or weight, Fatigue, Difficulty concentrating or making decisions"
what are the symptoms of anxiety disorders?,"Excessive worrying, Feeling restless or on edge, Irritability, Difficulty concentrating, Muscle tension, Sleep problems, Panic attacks"
what are the treatments for migraine headaches?,"Pain-relieving medications such as aspirin or ibuprofen, Triptans, which are medications specifically designed to treat migraines, Preventive medications such as beta blockers or antidepressants, Avoiding triggers such as certain foods, stress, and lack of sleep, Resting in a quiet, dark room"
what are the symptoms of benign prostatic hyperplasia?,"Frequent urination, Difficulty starting or stopping urination, Weak urine stream"
what are the treatments for menopause?,"Hormone therapy, Low-dose antidepressants, Gabapentin, Clonidine, Vaginal estrogen, Vaginal moisturizers and lubricants"
what are the symptoms of peptic ulcer disease?,"Abdominal pain, Bloating, Nausea, Vomiting, Loss of appetite"
what is paget's disease of bone?,"Paget's disease of bone is a chronic disorder that typically results in enlarged and deformed bones. It can affect any bone in the body, but most commonly affects the pelvis, spine, skull, and legs."
what is anxiety disorders?,"A group of mental health disorders characterized by excessive worry, fear, or nervousness that interferes with daily activities."
what are the treatments for polycystic kidney disease?,"Blood pressure medications to control high blood pressure, Antibiotics to treat infections, Surgery to remove large cysts or to transplant a new kidney, Dialysis to remove waste from the blood if kidneys fail"
what are the symptoms of post-traumatic stress disorder (ptsd)?,"Flashbacks or reliving the traumatic event, Nightmares and sleep disturbances, Avoiding reminders of the traumatic event, Feeling numb or detached from the world, Hyperarousal or being easily startled, Negative changes in thinking or mood"
what are the symptoms of urinary tract infection (uti)?,"Burning sensation during urination, Frequent urge to urinate, Passing small amounts of urine, Cloudy urine, Strong-smelling urine, Pelvic pain"
what are the symptoms of campylobacteriosis?,"Diarrhea, Abdominal pain, Fever, Nausea, Vomiting"
what are the symptoms of multiple myeloma?,"Bone pain, especially in the back or ribs, Weakness or fatigue, Frequent infections, Nausea or vomiting, Constipation"
what are the symptoms of mycobacterium avium complex infection?,"Fever, Fatigue, Weight loss, Night sweats, Diarrhea, Abdominal pain, Persistent cough, Shortness of breath"
what are the symptoms of candidiasis?,"Redness, Itching, Burning, Swelling, White patches on the tongue or inside the mouth, Pain during sex, Discharge"
what are the symptoms of tularemia?,"Fever, Chills, Headache, Muscle aches, Joint pain, Dry cough, Progressive weakness"
what are the treatments for lou gehrig's disease?,"Riluzole (Rilutek), Edaravone (Radicava), Physical therapy and occupational therapy, Breathing support"
what are the symptoms of ehrlichiosis?,"Fever, Headache, Muscle aches, Fatigue, Nausea, Vomiting, Diarrhea, Cough, Joint pain, Confusion"
what are the symptoms of multiple myeloma?,"Bone pain, especially in the back or ribs, Weakness or fatigue, Frequent infections, Nausea or vomiting, Constipation"
what are the symptoms of nasal polyps?,"Stuffy or runny nose, Postnasal drip, Decreased sense of smell, Facial pain or pressure, Snoring"
what are the symptoms of cirrhosis?,"Fatigue and weakness, Loss of appetite and weight loss, Nausea and vomiting, Abdominal swelling and pain, Jaundice (yellowing of the skin and eyes)"
what are the symptoms of erectile dysfunction?,"Difficulty getting an erection, Difficulty maintaining an erection, Reduced sexual desire"
what are the symptoms of hodgkin's lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Unexplained weight loss"
what are the symptoms of hepatitis b?,"Fever, Fatigue, Loss of appetite, Nausea, Vomiting, Abdominal pain, Joint pain, Jaundice"
what are the symptoms of varicella (chickenpox)?,"Fever, Headache, Tiredness, Rash, Itching"
what are the symptoms of mycoplasma pneumonia?,"Fever, Cough, Sore throat, Headache, Fatigue, Muscle aches, Shortness of breath"
what are the symptoms of dementia?,"Memory loss, Difficulty communicating, Inability to focus or pay attention, Poor reasoning or judgment, Confusion and disorientation, Mood changes"
what is congenital heart defects?,"Congenital heart defects are abnormalities in the heart's structure that are present at birth. They can affect the heart's valves, chambers, or blood vessels."
what are the treatments for myeloma?,"Chemotherapy, Radiation therapy, Stem cell transplant, Medications to strengthen bones, Pain management"
what are the symptoms of myeloma?,"Bone pain, Fatigue, Increased susceptibility to infections, Kidney damage, Nausea and vomiting, Unexplained weight loss"
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the treatments for botulism?,"Antitoxin, Ventilation support, Intensive care"
what are the treatments for high blood pressure (hypertension)?,"Lifestyle changes (e.g., healthy diet, regular exercise, stress management), Medications (e.g., ACE inhibitors, diuretics, beta blockers), Monitoring blood pressure regularly"
what is psoriasis?,Psoriasis is a chronic skin condition that causes cells to build up rapidly on the surface of the skin. The extra skin cells form scales and red patches that are sometimes itchy and painful.
what are the symptoms of greeting?,"Hi, Hey, How are you, Is anyone there?, Hello, Good day"
what are the symptoms of listeriosis?,"Fever, Muscle aches, Nausea, Diarrhea, Headache, Stiff neck, Confusion, Loss of balance, Convulsions"
what are the symptoms of legionellosis?,"Cough, Fever, Shortness of breath, Muscle aches, Headache, Nausea and vomiting"
what is peripheral neuropathy?,Peripheral neuropathy is a condition that occurs when the nerves that carry information to and from the brain and spinal cord to the rest of the body are damaged or diseased.
what are the symptoms of liver cancer?,"Abdominal pain and swelling, Weight loss, Loss of appetite, Jaundice"
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the treatments for whiplash?,"Pain medication, Physical therapy, Chiropractic care, Muscle relaxants, Corticosteroid injections, Surgery (in rare cases)"
what are the symptoms of ebola virus disease?,"Fever, Headache, Muscle pain, Fatigue, Diarrhea, Vomiting, Abdominal pain, Unexplained hemorrhage"
what are the symptoms of tuberculosis?,"Coughing (with or without blood), Chest pain, Fatigue, Fever, Night sweats, Loss of appetite, Weight loss, Shortness of breath (in severe cases)"
what are the treatments for toxoplasmosis?,"Antibiotics (such as sulfadiazine, pyrimethamine, and clindamycin), Corticosteroids (to reduce inflammation in severe cases), Symptomatic treatment (such as pain relievers, fever reducers, and rest)"
what are the treatments for goodbye?,"See you later, thanks for visiting, Have a nice day, Bye! Come back again soon."
what are the treatments for angina pectoris?,"Lifestyle changes such as quitting smoking, eating a healthy diet and exercising regularly, Medications to relieve pain and improve blood flow to the heart, Medical procedures such as angioplasty or bypass surgery"
what are the treatments for endometriosis?,"Pain relievers such as nonsteroidal anti-inflammatory drugs (NSAIDs), Hormone therapy, Surgery to remove endometrial tissue, Assisted reproductive technologies (ART)"
what is asthma?,"Asthma is a chronic condition where the airways in the lungs become inflamed and narrow, making it difficult to breathe."
what are the symptoms of thyroid cancer?,"A lump or swelling in the neck, Pain in the neck or throat, Difficulty swallowing or breathing"
what are the treatments for cervical cancer?,"Surgery (e.g., hysterectomy, removal of lymph nodes), Radiation therapy, Chemotherapy, Targeted therapy"
what are the treatments for colitis?,"Anti-inflammatory medications, Immunosuppressants, Surgery to remove the colon in severe cases"
what are the symptoms of zika virus infection?,"Fever, Rash, Joint pain, Red eyes (conjunctivitis), Muscle pain, Headache"
what are the treatments for hemophilia?,"Replacement therapy with clotting factors, Desmopressin to increase the levels of clotting factors, Gene therapy"
what are the symptoms of thanks?,"thank you, thanks, appreciate it"
what are the symptoms of helminthiasis?,"abdominal pain, diarrhea, nausea, vomiting, fever, fatigue, weight loss"
what are the symptoms of down syndrome?,"Intellectual disability, Delayed developmental milestones, Hypotonia (low muscle tone), Upward slanting eyes, Flat nasal bridge, Short stature, Heart defects"
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what are the symptoms of glaucoma?,"Blurred vision, Eye pain, Headaches"
what are the treatments for pulmonary embolism?,"Blood thinners, Clot-dissolving medications, Surgery"
what are the symptoms of ebola virus disease?,"Fever, Headache, Muscle pain, Fatigue, Diarrhea, Vomiting, Abdominal pain, Unexplained hemorrhage"
what are the symptoms of psoriasis?,"Red patches of skin covered with thick, silvery scales, Dry, cracked skin that may bleed, Itching or burning sensations"
what are the symptoms of scabies?,"Intense itching (especially at night), Rash (usually on the hands, feet, or genitals), Small, raised bumps on the skin"
what are the treatments for hepatitis b?,"Antiviral medication, Rest, Adequate nutrition, Fluids, Vaccination"
what are the symptoms of peyronie's disease?,"Bent penis during an erection, Erectile dysfunction, Pain during an erection, Shortening of the penis"
what are the treatments for bacterial meningitis?,"Antibiotics, Corticosteroids, Supportive care"
what are the treatments for congestive heart failure?,"Medications to manage symptoms and improve heart function, Lifestyle changes such as diet and exercise, Implantation of devices such as pacemakers or defibrillators, Heart transplant"
what are the treatments for monkeypox?,"Supportive care, Antiviral medications"
what are the symptoms of brucellosis?,"Fever, Fatigue, Loss of appetite, Joint pain, Muscle pain, Sweating, Headache"
what is high blood pressure (hypertension)?,"High blood pressure is a common condition in which the force of blood against your artery walls is consistently too high, which can eventually cause health problems, such as heart disease."
what are the symptoms of primary sclerosing cholangitis?,"Abdominal pain, Fatigue, Itching, Jaundice, Weight loss"
what are the symptoms of rabies?,"Fever, Headache, Muscle weakness, Seizures, Excessive salivation, Paralysis"
what are the treatments for staphylococcal scalded skin syndrome?,"Antibiotics, Pain relief medication, Intravenous fluids"
what are the treatments for diphtheria?,"Antibiotics, Diphtheria antitoxin, Supportive care"
what are the treatments for hearing loss?,"Hearing aids, Cochlear implants, Assistive listening devices"
what are the treatments for brucellosis?,"Antibiotics, Rest, Pain relievers"
what are the symptoms of pancreatic cancer?,"Abdominal pain, Loss of appetite, Weight loss, Jaundice, Nausea, Vomiting, New-onset diabetes, Fatigue, Depression"
what are the symptoms of diverticulitis?,"Abdominal pain, usually on the left side, Fever, Nausea, Vomiting, Constipation or diarrhea"
what is hemorrhoids?,Swollen veins in the anus and lower rectum
what are the symptoms of coronary artery disease?,"Chest pain or discomfort, Shortness of breath, Heart palpitations, Nausea, Sweating"
what are the symptoms of about_you?,"who are you, what are you, tell me about yourself, what can you do, help, need help, can you help me"
what are the symptoms of down syndrome?,"Intellectual disability, Delayed developmental milestones, Hypotonia (low muscle tone), Upward slanting eyes, Flat nasal bridge, Short stature, Heart defects"
what are the symptoms of tuberculosis?,"Coughing (with or without blood), Chest pain, Fatigue, Fever, Night sweats, Loss of appetite, Weight loss, Shortness of breath (in severe cases)"
what are the symptoms of high blood pressure (hypertension)?,"Headaches, Shortness of breath, Nosebleeds, Flushed face, Dizziness, Chest pain, Visual changes"
what are the symptoms of bipolar disorder?,"Mood swings, Mania (extreme high), Depression (extreme low), Fatigue, Insomnia, Irritability, Difficulty concentrating, Impaired judgment, Risk-taking behavior"
what are the treatments for onchocerciasis?,"Ivermectin, Doxycycline, Surgery (for advanced cases)"
what are the symptoms of bipolar disorder?,"Mood swings, Mania (extreme high), Depression (extreme low), Fatigue, Insomnia, Irritability, Difficulty concentrating, Impaired judgment, Risk-taking behavior"
what are the treatments for eczema?,"Moisturizers and topical steroids, Avoiding triggers (such as certain fabrics, soaps, or foods), Antihistamines for itching, Immunosuppressants for severe cases"
what are the treatments for anthrax?,"Antibiotics, Antitoxins, Wound care"
what are the symptoms of sars (severe acute respiratory syndrome)?,"Fever, Chills, Dry cough, Shortness of breath, Muscle aches, Headache, Sore throat, Malaise"
what are the symptoms of leukemia?,"Fatigue, Fever, Frequent infections, Bruising or bleeding easily"
what are the symptoms of diabetes mellitus?,"Increased thirst, Frequent urination, Extreme hunger, Unexplained weight loss, Fatigue, Blurred vision, Slow-healing sores or frequent infections, Tingling or numbness in the hands or feet, Dry, itchy skin"
what are the symptoms of yeast infection?,"Vaginal itching, Burning sensation during urination, Pain during sexual intercourse, Swelling and redness of the vulva, White, thick, odorless vaginal discharge with a cottage cheese-like appearance"
what are the symptoms of infectious mononucleosis?,"Fatigue, Fever, Sore throat, Swollen lymph nodes, Headache, Muscle aches, Rash"
what are the symptoms of chronic obstructive pulmonary disease?,"Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Frequent respiratory infections, Lack of energy, Unintended weight loss"
what are the symptoms of stomach cancer?,"Abdominal pain or discomfort, Nausea or vomiting, Loss of appetite, Unintended weight loss, Feeling full after eating small amounts of food"
what are the symptoms of interstitial cystitis?,"Pelvic pain, Frequent urination, Urgency to urinate, Painful urination, Pain during sexual intercourse"
what are the symptoms of cirrhosis?,"Fatigue and weakness, Loss of appetite and weight loss, Nausea and vomiting, Abdominal swelling and pain, Jaundice (yellowing of the skin and eyes)"
what are the treatments for myocardial infarction?,"Oxygen therapy, Aspirin or other antiplatelet medications, Thrombolytic therapy or percutaneous coronary intervention (PCI) to restore blood flow, Beta blockers, ACE inhibitors, or other medications to prevent future heart attacks, Lifestyle changes such as quitting smoking, eating a healthy diet, and getting regular exercise"
what are the treatments for tetanus?,"Antitoxin medication, Muscle relaxants, Pain relief medication"
what are the symptoms of respiratory syncytial virus infection?,"Runny or stuffy nose, Cough, Fever, Wheezing, Difficulty breathing"
what are the symptoms of rectal cancer?,"Bleeding from the rectum, Changes in bowel habits, Abdominal pain or discomfort, Weakness and fatigue, Unintended weight loss"
what are the treatments for myocardial infarction?,"Oxygen therapy, Aspirin or other antiplatelet medications, Thrombolytic therapy or percutaneous coronary intervention (PCI) to restore blood flow, Beta blockers, ACE inhibitors, or other medications to prevent future heart attacks, Lifestyle changes such as quitting smoking, eating a healthy diet, and getting regular exercise"
what are the treatments for peripheral artery disease (pad)?,"Lifestyle changes such as regular exercise, smoking cessation, and healthy diet, Medications like blood thinners, cholesterol-lowering drugs, and medications to control blood pressure, Angioplasty and stenting, Bypass surgery, Amputation of the affected limb, in severe cases"
what are the symptoms of shigellosis?,"Diarrhea (which may be bloody), Fever, Stomach cramps, Nausea, Vomiting"
what are the symptoms of hookworm infection?,"Itching and a rash at the site of infection, Abdominal pain, Diarrhea, Fatigue, Loss of appetite"
what are the treatments for tendinitis?,"Rest, Ice, Compression, Elevation, Physical therapy, Medications, Surgery"
what are the symptoms of mycoplasma pneumonia?,"Fever, Cough, Sore throat, Headache, Fatigue, Muscle aches, Shortness of breath"
what are the symptoms of nonalcoholic fatty liver disease (nafld)?,"Fatigue, Pain or discomfort in the upper right abdomen, Swelling in the abdomen, Elevated liver enzymes, Insulin resistance and high blood sugar"
what are the symptoms of hantavirus pulmonary syndrome?,"fever, muscle aches, fatigue, shortness of breath, cough, headaches, abdominal pain"
what are the treatments for intestinal obstruction?,"Surgery to remove the obstruction, Medications to relieve symptoms, Intravenous fluids and electrolytes"
what are the treatments for vitiligo?,"Topical corticosteroids, Topical calcineurin inhibitors, Narrowband ultraviolet B (NB-UVB) therapy, Excimer laser, Depigmentation (in severe cases)"
what are the symptoms of campylobacteriosis?,"Diarrhea, Abdominal pain, Fever, Nausea, Vomiting"
what are the treatments for asthma?,"Bronchodilators to open up the airways, Corticosteroids to reduce inflammation, Leukotriene modifiers, Immunomodulators"
what is venous insufficiency?,"Venous insufficiency is a condition where the veins in the legs are unable to pump blood back up to the heart effectively, leading to swelling, pain, and other symptoms."
what are the symptoms of norovirus infection?,"Nausea, Vomiting, Diarrhea, Stomach cramps, Fever, Headache, Body aches"
what are the symptoms of toxoplasmosis?,"Flu-like symptoms (such as fever, fatigue, body aches), Swollen lymph nodes, Muscle aches and pains, Headache, Sore throat, Skin rash, Inflammation of the lungs, heart, or eyes (in severe cases)"
what are the symptoms of peripheral arterial disease?,"Leg pain, Numbness or weakness in legs, Coldness in lower leg or foot, Sores on toes, feet or legs that won't heal, Change in color of legs"
what are the symptoms of chagas disease?,"Fever, Fatigue, Body aches, Swollen lymph nodes, Headache, Enlarged liver or spleen, Heart palpitations"
what are the symptoms of colorectal cancer?,"Abdominal pain, Blood in the stool, Changes in bowel habits (e.g., diarrhea or constipation), Unintended weight loss, Fatigue"
what is rheumatic fever?,"Rheumatic fever is a complication of untreated strep throat. It can cause inflammation of the heart, joints, and other organs."
what are the symptoms of histoplasmosis?,"Fever, Cough, Chest pain, Fatigue, Body aches"
what are the symptoms of breast cancer?,"A lump or thickening in the breast or underarm, Changes in the size or shape of the breast, Nipple discharge or retraction"
what are the treatments for chronic obstructive pulmonary disease?,"Smoking cessation, Bronchodilators to relax the muscles around the airways, Inhaled corticosteroids to reduce inflammation, Pulmonary rehabilitation to improve lung function and overall fitness, Supplemental oxygen therapy, Surgery in severe cases"
what are the symptoms of osteoporosis?,"Back pain, Loss of height over time, A stooped posture, A bone that breaks much more easily than expected"
what are the symptoms of bacterial meningitis?,"Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Seizures, Coma"
what are the symptoms of cytomegalovirus infection?,"Fever, Fatigue, Sore throat, Swollen glands, Muscle aches, Loss of appetite, Jaundice, Pneumonia, Encephalitis"
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the symptoms of ulcerative colitis?,"Abdominal pain, Diarrhea, Rectal bleeding, Urgency to defecate, Weight loss, Fatigue"
what are the treatments for crohn's disease?,"Anti-inflammatory drugs, Immune system suppressors, Antibiotics, Nutrition therapy, Surgery"
what are the treatments for osteoporosis?,"Calcium and vitamin D supplements, Medications such as bisphosphonates, hormone therapy, and denosumab, Regular weight-bearing and muscle-strengthening exercise, Fall prevention measures, such as removing hazards and improving lighting in the home"
what are the symptoms of cryptococcosis?,"Fever, Headache, Nausea and vomiting, Stiff neck, Sensitivity to light, Confusion, Shortness of breath"
what are the symptoms of yeast infection?,"Vaginal itching, Burning sensation during urination, Pain during sexual intercourse, Swelling and redness of the vulva, White, thick, odorless vaginal discharge with a cottage cheese-like appearance"
what are the treatments for colitis?,"Anti-inflammatory medications, Immunosuppressants, Surgery to remove the colon in severe cases"
what are the symptoms of mumps?,"Swelling of the salivary glands, Fever, Headache, Muscle aches, Fatigue, Loss of appetite, Painful testicles or breasts, Stiff neck, Difficulty swallowing"
what are the symptoms of diverticulitis?,"Abdominal pain, usually on the left side, Fever, Nausea, Vomiting, Constipation or diarrhea"
what is cryptococcosis?,"Cryptococcosis is a fungal infection caused by Cryptococcus neoformans or Cryptococcus gattii. It can affect the lungs, brain, and other parts of the body."
what are the symptoms of appendicitis?,"Pain in the lower right side of the abdomen, Nausea and vomiting, Loss of appetite, Fever, Constipation or diarrhea"
what are the treatments for kidney stones?,"Drinking water to help pass the stone, Medications to relieve pain, Surgery (in severe cases)"
what are the symptoms of bipolar disorder?,"Mood swings, Mania (extreme high), Depression (extreme low), Fatigue, Insomnia, Irritability, Difficulty concentrating, Impaired judgment, Risk-taking behavior"
what are the treatments for hashimoto's thyroiditis?,"Synthetic thyroid hormone replacement therapy, Lifestyle changes such as a healthy diet and exercise, Avoiding certain foods such as soy and high-fiber foods"
what are the symptoms of scleroderma?,"Thickening and hardening of skin, Digestive problems, Joint pain and stiffness, Shortness of breath"
what are the symptoms of rectal cancer?,"Bleeding from the rectum, Changes in bowel habits, Abdominal pain or discomfort, Weakness and fatigue, Unintended weight loss"
what are the symptoms of rectal cancer?,"Bleeding from the rectum, Changes in bowel habits, Abdominal pain or discomfort, Weakness and fatigue, Unintended weight loss"
what is cirrhosis of the liver?,"Cirrhosis is a late stage of scarring of the liver caused by long-term liver damage. It can lead to liver failure and other complications such as bleeding, infections, and liver cancer."
what are the symptoms of chagas disease?,"Fever, Fatigue, Body aches, Swollen lymph nodes, Headache, Enlarged liver or spleen, Heart palpitations"
what are the symptoms of tuberculosis?,"Coughing (with or without blood), Chest pain, Fatigue, Fever, Night sweats, Loss of appetite, Weight loss, Shortness of breath (in severe cases)"
what are the treatments for ebola virus disease?,"Supportive care, Experimental treatments"
what are the treatments for infectious mononucleosis?,"Rest, Pain relievers, Drinking fluids, Steroids (in severe cases)"
what are the symptoms of q fever?,"Fever, Headache, Muscle aches, Chills, Sweats, Cough, Chest pain"
what are the symptoms of liver cancer?,"Abdominal pain and swelling, Weight loss, Loss of appetite, Jaundice"
what are the treatments for prostate cancer?,"Watchful waiting, Surgery, Radiation therapy, Cryotherapy, Hormone therapy, Chemotherapy"
what are the treatments for scarlet fever?,"Antibiotics, Over-the-counter pain relievers (to reduce fever and discomfort)"
what are the treatments for giardiasis?,"Antibiotics, Anti-diarrheal medications, Rehydration therapy"
what are the symptoms of macular degeneration?,"Blurred vision, Dark or empty areas in your central vision, Difficulty reading or recognizing faces, Distorted vision, Straight lines appearing wavy, Reduced central vision, Need for brighter light when reading or doing close work, Increased difficulty adapting to low light levels, Decreased intensity or brightness of colors"
what are the treatments for rheumatoid arthritis?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs), Biologic agents"
what are the symptoms of paget's disease of bone?,"Bone pain, Joint pain, Headaches, Hearing loss, Numbness or tingling, Enlarged bones, Bone deformities"
what are the symptoms of anemia?,"Fatigue and weakness, Shortness of breath, Dizziness, Headache, Pale skin, Irregular heartbeat"
what are the symptoms of sciatica?,"Pain in the lower back, buttocks, and legs, Numbness or tingling in the legs or feet, Weakness in the legs, Difficulty walking"
what are the treatments for giardiasis?,"Antibiotics, Anti-diarrheal medications, Rehydration therapy"
what are the symptoms of gonorrhea?,"painful urination, abnormal discharge, painful intercourse, lower abdominal pain, fever"
what are the symptoms of monkeypox?,"Fever, Headache, Muscle aches, Backache, Swollen lymph nodes, Chills, Exhaustion, Rash"
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the symptoms of vertigo?,"Dizziness, Balance problems, Nausea or vomiting, Headache, Sweating, Ringing in the ears"
what are the treatments for obesity?,"Dietary changes, Increased physical activity, Behavioral therapy, Weight-loss medications, Bariatric surgery"
what are the symptoms of cryptosporidiosis?,"Diarrhea, Stomach cramps, Nausea, Vomiting, Fever, Dehydration"
what are the treatments for sinusitis?,"Nasal decongestants, Saline nasal irrigation, Antibiotics, Steroid nasal sprays"
what are the symptoms of rubella?,"Rash, Fever, Headache, Swollen lymph nodes"
what are the symptoms of huntington's disease?,"Difficulty concentrating and remembering things, Depression and anxiety, Uncontrolled movements (chorea), Difficulty with coordination and balance, Difficulty with speech and swallowing"
what are the treatments for bursitis?,"Rest and ice, Anti-inflammatory medication, Physical therapy"
what are the symptoms of pancreatic cancer?,"Abdominal pain, Loss of appetite, Weight loss, Jaundice, Nausea, Vomiting, New-onset diabetes, Fatigue, Depression"
what are the symptoms of giardiasis?,"diarrhea, abdominal cramps, bloating, nausea, fatigue, loss of appetite, weight loss"
what are the symptoms of norovirus infection?,"Nausea, Vomiting, Diarrhea, Stomach cramps, Fever, Headache, Body aches"
what are the symptoms of amyotrophic lateral sclerosis (als)?,"Muscle weakness and stiffness, Difficulty speaking and swallowing, Muscle twitching and cramping, Gradual loss of mobility, Difficulty breathing"
what are the symptoms of brain tumors?,"Headaches, Seizures, Nausea and vomiting, Memory problems, Changes in vision, hearing, or speech, Difficulty walking or balancing, Weakness or numbness on one side of the body"
what is anal fissure?,"An anal fissure is a tear in the lining of the anus, which can cause pain and bleeding during bowel movements."
what are the symptoms of renal failure?,"Swelling in hands, feet, and ankles, Fatigue, Nausea, Decreased appetite, Shortness of breath"
what are the symptoms of ebola virus disease?,"Fever, Headache, Muscle pain, Fatigue, Diarrhea, Vomiting, Abdominal pain, Unexplained hemorrhage"
what are the treatments for diabetes mellitus?,"Lifestyle changes (e.g. diet, exercise), Oral medications (e.g. metformin, sulfonylureas), Insulin therapy, Blood sugar monitoring, Regular check-ups with a healthcare provider"
what are the treatments for nasal polyps?,"Nasal corticosteroids, Nasal sprays, Antihistamines, Surgery"
what are the symptoms of systemic lupus erythematosus?,"Fatigue, Fever, Joint pain, Skin rashes, Chest pain, Shortness of breath, Headaches, Confusion, Memory loss"
